epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6562,1.72177,3.4844,1.56009,0.006,0.73052,0.04397,0.02872,1.468,3.25026,1.4123,0.0008,0.0008,0.0008
2,17.1023,1.36873,3.30509,1.32749,0.00722,0.8783,0.14624,0.10753,0.94117,3.09272,1.03211,0.00169916,0.00169916,0.00169916
3,19.5152,1.15056,2.76519,1.17605,0.00815,0.99365,0.47681,0.33928,0.94135,2.86389,0.97826,0.00259743,0.00259743,0.00259743
4,21.8952,1.147,2.08603,1.19925,0.00823,1,0.57678,0.4237,0.88863,2.80466,0.98808,0.0034948,0.0034948,0.0034948
5,24.3258,1.11912,1.63717,1.21578,0.00796,0.97538,0.69235,0.50091,0.91793,2.71991,0.98953,0.00439129,0.00439129,0.00439129
6,26.9394,1.05881,1.31516,1.14456,0.70409,0.51936,0.70136,0.50947,0.96829,2.70277,1.0543,0.00528688,0.00528688,0.00528688
7,29.4162,1.08684,1.19217,1.14846,0.94657,0.17863,0.79243,0.57096,1.02377,2.46338,1.02282,0.00618159,0.00618159,0.00618159
8,31.9032,1.06065,1.13029,1.12439,0.93948,0.32906,0.84368,0.58002,1.08216,2.24224,1.06663,0.0070754,0.0070754,0.0070754
9,34.2993,1.06886,1.07365,1.11311,0.98448,0.51268,0.92864,0.66035,1.02959,1.97098,1.07178,0.00796832,0.00796832,0.00796832
10,36.6323,1.07764,1.04789,1.12113,0.94237,0.8487,0.96396,0.67922,1.06751,1.50946,1.12025,0.00886035,0.00886035,0.00886035
11,38.9384,1.09211,1.03843,1.11404,0.9627,0.9225,0.98886,0.74071,0.91443,1.27275,1.03002,0.00975149,0.00975149,0.00975149
12,41.4061,1.0717,1.00851,1.10038,0.82408,0.78982,0.9261,0.5975,1.20329,1.42829,1.28522,0.00994555,0.00994555,0.00994555
13,43.7781,1.04855,0.94429,1.11738,0.78437,0.72982,0.79696,0.4603,1.3487,1.4355,1.44104,0.0099406,0.0099406,0.0099406
14,46.2048,1.03499,0.93557,1.09059,0.84708,0.81949,0.90579,0.62765,1.04836,1.14525,1.20401,0.00993565,0.00993565,0.00993565
15,48.4378,0.99993,0.94623,1.09739,0.91665,0.8707,0.9436,0.63178,1.14924,1.01929,1.24852,0.0099307,0.0099307,0.0099307
16,50.6623,1.02288,0.91399,1.10935,0.95531,0.93242,0.96752,0.6832,1.05616,0.92462,1.15823,0.00992575,0.00992575,0.00992575
17,52.9041,1.03067,0.87122,1.09001,0.93409,0.92072,0.97328,0.7265,0.94905,0.83404,1.06707,0.0099208,0.0099208,0.0099208
18,55.2208,1.01083,0.84823,1.09322,0.9711,0.96886,0.98813,0.72877,0.96436,0.79135,1.1335,0.00991585,0.00991585,0.00991585
19,57.5388,1.01764,0.84003,1.11536,0.96006,0.97003,0.98717,0.74343,0.92325,0.74558,1.09283,0.0099109,0.0099109,0.0099109
20,59.9049,1.00231,0.79899,1.09887,0.97404,0.9518,0.98953,0.75325,0.90777,0.77686,1.05621,0.00990595,0.00990595,0.00990595
21,62.1259,1.00042,0.79473,1.09498,0.92779,0.9303,0.96999,0.71254,0.93869,0.82933,1.11049,0.009901,0.009901,0.009901
