epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4191,1.64212,3.44194,1.51545,0.00724,0.88339,0.23055,0.15043,1.02263,3.1031,1.09315,0.00011432,0.00011432,0.00011432
2,17.0965,1.21118,2.81908,1.20205,0.00842,1,0.57834,0.40785,0.97863,2.84508,0.96441,0.000242629,0.000242629,0.000242629
3,19.6314,1.14007,2.05841,1.18148,0.00841,1,0.69564,0.49452,0.94758,2.77656,0.9564,0.00037062,0.00037062,0.00037062
4,22.1835,1.12076,1.47922,1.17756,0.00808,0.98901,0.74263,0.49819,1.05528,2.74178,1.04804,0.000498293,0.000498293,0.000498293
5,24.6234,1.0903,1.24091,1.14715,0.97889,0.40018,0.83525,0.58957,0.98166,2.47074,1.0011,0.000625648,0.000625648,0.000625648
6,27.0802,1.05344,1.10906,1.11056,1,0.07927,0.92997,0.66619,0.98682,2.41433,1.02123,0.000752684,0.000752684,0.000752684
7,29.6036,1.07169,1.1037,1.1125,0.96758,0.26547,0.85864,0.57848,1.07593,2.33753,1.11756,0.000879402,0.000879402,0.000879402
8,32.0294,1.11368,1.07606,1.13064,0.82503,0.17948,0.5054,0.27777,1.4837,2.68334,1.50179,0.0010058,0.0010058,0.0010058
9,34.464,1.09468,1.04839,1.12906,0.79648,0.5025,0.73824,0.47139,1.26226,2.03771,1.43788,0.00113188,0.00113188,0.00113188
10,36.7335,1.09831,1.03574,1.1549,0.63766,0.57786,0.65519,0.42391,1.19585,1.98058,1.27873,0.00125765,0.00125765,0.00125765
11,38.9519,1.0626,0.97535,1.11961,0.67344,0.67399,0.80955,0.56139,1.07743,1.75315,1.18983,0.00138309,0.00138309,0.00138309
12,41.3285,1.04469,0.93048,1.10344,0.74999,0.58992,0.72532,0.53276,1.01698,1.99168,1.13789,0.00140955,0.00140955,0.00140955
13,43.6561,1.04919,0.90212,1.12724,0.44622,0.73231,0.68066,0.46624,1.04299,2.42729,1.09784,0.00140778,0.00140778,0.00140778
14,46.0824,1.01405,0.85631,1.0911,0.86423,0.76192,0.86912,0.60697,1.06482,1.28182,1.17003,0.00140601,0.00140601,0.00140601
15,48.4362,1.00673,0.85747,1.08893,0.79587,0.77516,0.88461,0.59329,1.09732,1.24898,1.13947,0.00140424,0.00140424,0.00140424
16,50.7155,0.97675,0.81696,1.08839,0.83288,0.92612,0.96072,0.71171,0.95067,0.9409,1.04791,0.00140247,0.00140247,0.00140247
17,52.9422,0.98662,0.78837,1.07665,0.90152,0.84437,0.96006,0.72011,0.93191,0.89146,1.02338,0.00140071,0.00140071,0.00140071
18,55.2162,1.00378,0.77855,1.10085,0.87066,0.77091,0.89811,0.66524,0.94712,1.00895,1.06124,0.00139894,0.00139894,0.00139894
19,57.566,0.99744,0.77331,1.0967,0.82488,0.83703,0.88519,0.64297,1.00734,1.02039,1.08456,0.00139717,0.00139717,0.00139717
20,59.9877,0.98427,0.74023,1.08811,0.77861,0.76891,0.82223,0.59712,1.03689,1.17845,1.07736,0.0013954,0.0013954,0.0013954
21,62.3495,1.00291,0.74613,1.09367,0.77183,0.80166,0.75053,0.54897,0.99271,1.56183,1.09407,0.00139363,0.00139363,0.00139363
22,64.7553,0.9904,0.7424,1.08962,0.89356,0.86153,0.98126,0.74077,0.93471,0.80782,1.03591,0.00139186,0.00139186,0.00139186
23,67.0073,0.96453,0.7166,1.07914,0.91182,0.8578,0.93788,0.71229,0.89854,0.94377,1.03177,0.0013901,0.0013901,0.0013901
24,69.3458,0.95426,0.69075,1.08164,0.94302,0.89483,0.97555,0.73725,0.90141,0.80984,1.02178,0.00138833,0.00138833,0.00138833
25,71.6464,0.94302,0.67879,1.04644,0.91127,0.84528,0.95077,0.70118,0.95999,0.78274,1.04875,0.00138656,0.00138656,0.00138656
26,73.9531,0.94414,0.66284,1.06911,0.88245,0.91808,0.955,0.72973,0.906,0.73374,1.02561,0.00138479,0.00138479,0.00138479
27,76.4575,0.94668,0.6417,1.06188,0.86207,0.86231,0.96223,0.72099,0.92376,0.80755,1.01489,0.00138302,0.00138302,0.00138302
