epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4423,1.64212,3.44194,1.51545,0.00724,0.88339,0.23055,0.15043,1.02263,3.1031,1.09315,0.00011432,0.00011432,0.00011432
2,17.0602,1.20723,2.81642,1.19993,0.00829,0.9932,0.57393,0.41488,0.95203,2.84726,0.95543,0.000242689,0.000242689,0.000242689
3,19.6187,1.13389,2.04249,1.17685,0.00832,1,0.72618,0.51303,0.91789,2.76525,0.94681,0.000370804,0.000370804,0.000370804
4,22.1796,1.11482,1.48386,1.1723,0.00807,0.99267,0.69268,0.45189,1.0661,2.74851,1.06232,0.000498665,0.000498665,0.000498665
5,24.6131,1.08356,1.23746,1.13812,0.94493,0.11666,0.8445,0.56077,1.05819,2.56812,1.04677,0.00062627,0.00062627,0.00062627
6,27.1297,1.06915,1.1298,1.11303,0.96031,0.20083,0.89995,0.64276,0.96491,2.44274,1.00637,0.000753621,0.000753621,0.000753621
7,29.6215,1.10605,1.11512,1.11308,0.98728,0.11124,0.79508,0.52103,1.09262,2.46092,1.11537,0.000880717,0.000880717,0.000880717
8,32.0242,1.08663,1.06466,1.11538,0.6057,0.28957,0.46001,0.30816,1.13817,2.373,1.17443,0.00100756,0.00100756,0.00100756
9,34.5216,1.06441,1.05076,1.10193,0.59366,0.28361,0.39614,0.24252,1.36058,2.71,1.34833,0.00113415,0.00113415,0.00113415
10,36.9281,1.07427,1.02129,1.12061,0.67293,0.43857,0.58006,0.39564,1.20322,2.33209,1.16706,0.00126048,0.00126048,0.00126048
11,39.3029,1.05609,0.96451,1.09256,0.6089,0.74067,0.77624,0.54514,1.0781,1.88421,1.09569,0.00138656,0.00138656,0.00138656
12,41.6467,1.04563,0.93678,1.09448,0.65578,0.80798,0.85107,0.60719,1.05132,1.67093,1.09763,0.00141344,0.00141344,0.00141344
13,44.072,1.07107,0.92156,1.11794,0.65122,0.86693,0.87813,0.64566,0.97353,1.68066,1.0662,0.00141202,0.00141202,0.00141202
14,46.4525,1.01531,0.86903,1.07753,0.83093,0.78485,0.90773,0.65002,1.022,1.13111,1.08201,0.00141061,0.00141061,0.00141061
15,48.7933,1.03577,0.8814,1.09558,0.85468,0.86077,0.94072,0.6735,1.02715,1.05338,1.08374,0.00140919,0.00140919,0.00140919
16,51.1386,1.00497,0.82829,1.08824,0.87003,0.798,0.89933,0.63026,1.08039,1.12747,1.13508,0.00140778,0.00140778,0.00140778
17,53.4346,1.00701,0.80552,1.07637,0.61106,0.7229,0.74598,0.51079,1.13423,1.46372,1.17564,0.00140636,0.00140636,0.00140636
18,55.8167,0.99181,0.79476,1.08059,0.82522,0.73001,0.8265,0.59768,1.00678,1.18339,1.06143,0.00140495,0.00140495,0.00140495
19,58.0927,0.98362,0.79211,1.09047,0.81401,0.76917,0.92452,0.70276,0.9355,1.06343,1.03044,0.00140354,0.00140354,0.00140354
20,60.5588,0.98528,0.7633,1.08056,0.73445,0.81909,0.94438,0.68406,0.95521,1.01299,1.08639,0.00140212,0.00140212,0.00140212
21,62.7858,0.96986,0.71984,1.07682,0.90057,0.82052,0.93791,0.69193,0.93487,0.84313,1.06403,0.00140071,0.00140071,0.00140071
22,65.0928,0.99724,0.71308,1.08492,0.91698,0.83856,0.96049,0.72836,0.91515,0.89027,1.02678,0.00139929,0.00139929,0.00139929
23,67.3839,0.98201,0.70597,1.07224,0.95544,0.96372,0.97934,0.74397,0.87894,0.66124,1.01612,0.00139788,0.00139788,0.00139788
24,69.7497,0.96167,0.68404,1.07202,0.98012,0.93827,0.98724,0.72994,0.9472,0.72569,1.05282,0.00139646,0.00139646,0.00139646
25,72.0589,0.94371,0.66653,1.04489,0.86645,0.92844,0.9543,0.71993,0.90305,0.87428,1.01733,0.00139505,0.00139505,0.00139505
26,74.3887,0.93617,0.65359,1.06792,0.97245,0.96209,0.99291,0.75568,0.90671,0.59315,1.0149,0.00139363,0.00139363,0.00139363
27,76.8088,0.92061,0.63047,1.05409,0.90631,0.94965,0.97972,0.74371,0.87463,0.65057,0.9949,0.00139222,0.00139222,0.00139222
28,79.1004,0.94218,0.65554,1.06532,0.97886,0.96066,0.99068,0.75652,0.85153,0.55732,0.97801,0.0013908,0.0013908,0.0013908
29,81.3852,0.91947,0.61856,1.03823,0.94342,0.9703,0.98818,0.75429,0.88871,0.56064,1.02014,0.00138939,0.00138939,0.00138939
30,83.6993,0.93002,0.63212,1.05565,0.92571,0.97941,0.98146,0.74107,0.89279,0.60696,1.03137,0.00138797,0.00138797,0.00138797
31,86.0138,0.92055,0.62506,1.05339,0.96068,0.98453,0.99035,0.75006,0.86869,0.52584,1.00772,0.00138656,0.00138656,0.00138656
32,88.2882,0.92286,0.60596,1.05313,0.97724,0.98681,0.99254,0.76166,0.87541,0.51627,1.00028,0.00138514,0.00138514,0.00138514
33,90.5125,0.9271,0.62078,1.03858,0.9645,0.97996,0.99272,0.74618,0.87578,0.53993,1.01456,0.00138373,0.00138373,0.00138373
34,92.8443,0.91325,0.60579,1.04382,0.93572,0.96915,0.96579,0.72267,0.90578,0.62379,1.0329,0.00138231,0.00138231,0.00138231
35,95.1999,0.91577,0.59727,1.0537,0.97074,0.99397,0.98972,0.75736,0.88561,0.52528,1.01146,0.0013809,0.0013809,0.0013809
36,97.4951,0.93258,0.6119,1.07004,0.90626,0.9197,0.97832,0.73578,0.92577,0.7048,1.03778,0.00137949,0.00137949,0.00137949
37,99.7574,0.89878,0.57894,1.04724,0.97271,0.97957,0.98826,0.75737,0.87536,0.59029,1.00111,0.00137807,0.00137807,0.00137807
38,102.007,0.90867,0.572,1.05278,0.88834,0.94946,0.94326,0.71813,0.86138,0.89481,1.01183,0.00137666,0.00137666,0.00137666
39,104.318,0.90154,0.58808,1.04376,0.84217,0.93734,0.94216,0.71997,0.89693,1.00202,1.01815,0.00137524,0.00137524,0.00137524
40,106.552,0.92177,0.57981,1.04893,0.92569,0.92156,0.96529,0.72992,0.91476,0.80764,1.02508,0.00137383,0.00137383,0.00137383
41,108.775,0.9341,0.59631,1.05139,0.92879,0.95249,0.95275,0.7421,0.83816,0.73501,0.96904,0.00137241,0.00137241,0.00137241
42,111.105,0.90853,0.57418,1.05308,0.95477,0.96437,0.98715,0.77959,0.82328,0.50971,0.97184,0.001371,0.001371,0.001371
43,113.435,0.92002,0.56474,1.063,0.93518,0.95893,0.98836,0.75944,0.86609,0.52504,1.00417,0.00136958,0.00136958,0.00136958
44,115.76,0.86708,0.53556,1.02628,0.97069,0.97983,0.99112,0.75984,0.85851,0.495,0.9811,0.00136817,0.00136817,0.00136817
45,118.02,0.87901,0.55208,1.02661,0.97226,0.96781,0.99223,0.76616,0.85143,0.49395,0.96736,0.00136675,0.00136675,0.00136675
