epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16953,1.72591,3.54984,1.57731,0.00604,0.751,0.07896,0.04932,1.38511,3.31081,1.41444,0.0008,0.0008,0.0008
2,5.30602,1.36879,3.35255,1.3346,0.00796,0.96313,0.31466,0.22371,0.96928,3.05144,1.02686,0.00169916,0.00169916,0.00169916
3,7.3754,1.19317,2.6863,1.17865,1,0.05946,0.5572,0.40778,0.98999,2.49843,0.98015,0.00259743,0.00259743,0.00259743
4,9.45977,1.15253,1.88283,1.13813,0.84867,0.26092,0.65487,0.47813,0.97236,2.29733,0.95777,0.0034948,0.0034948,0.0034948
5,11.6395,1.10538,1.5622,1.11182,1,0.25429,0.74785,0.55712,0.92207,2.27946,0.94085,0.00439129,0.00439129,0.00439129
6,13.8247,1.05398,1.3284,1.07831,0.89781,0.28113,0.8058,0.61037,0.91161,2.26296,0.94304,0.00528688,0.00528688,0.00528688
7,15.9545,1.07395,1.17428,1.08695,0.99374,0.33233,0.89513,0.66655,0.94186,2.29874,0.95697,0.00618159,0.00618159,0.00618159
8,18.0148,1.07226,1.09475,1.09487,0.98273,0.64403,0.97507,0.71678,0.95695,1.90674,0.94978,0.0070754,0.0070754,0.0070754
9,20.0577,1.06317,1.03766,1.07596,0.97779,0.7618,0.97793,0.71809,0.98839,1.75807,0.99084,0.00796832,0.00796832,0.00796832
10,22.0635,1.04473,1.00337,1.08446,0.96985,0.87513,0.98438,0.72957,0.95569,1.38438,0.96986,0.00886035,0.00886035,0.00886035
11,24.0129,1.08422,0.98862,1.08973,0.96193,0.92356,0.98972,0.74634,0.91548,1.41121,0.96205,0.00975149,0.00975149,0.00975149
12,26.0011,1.08688,0.95396,1.08016,0.94922,0.93599,0.98327,0.74029,0.93718,1.32425,0.98419,0.00994555,0.00994555,0.00994555
13,27.9447,1.03281,0.91354,1.08943,0.95781,0.93188,0.98098,0.70228,1.03308,1.14246,1.06808,0.0099406,0.0099406,0.0099406
14,29.9514,1.01884,0.88825,1.05588,0.97348,0.97064,0.99033,0.73717,0.91863,0.88526,1.02213,0.00993565,0.00993565,0.00993565
15,31.9706,1.05707,0.91238,1.08765,0.87201,0.94532,0.98284,0.67787,1.09716,0.96903,1.11794,0.0099307,0.0099307,0.0099307
16,33.9479,1.01105,0.86611,1.07609,0.92234,0.9416,0.98194,0.70852,1.02142,0.86315,1.0468,0.00992575,0.00992575,0.00992575
17,35.9113,0.99862,0.84763,1.05288,0.9584,0.97569,0.99064,0.74087,0.92596,0.82218,1.02279,0.0099208,0.0099208,0.0099208
18,38.0079,0.99703,0.82911,1.06717,0.95577,0.95579,0.98793,0.7402,0.8856,0.87682,1.01776,0.00991585,0.00991585,0.00991585
