epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49768,1.76631,3.52794,1.54052,0.08784,0.12512,0.04759,0.02037,1.75775,3.18885,1.55023,0.0007,0.0007,0.0007
2,6.07708,1.53082,2.37245,1.44278,0.6677,0.69277,0.74105,0.51103,1.12371,2.17855,1.23028,0.00149926,0.00149926,0.00149926
3,8.85699,1.25835,1.28084,1.29081,0.83106,0.88968,0.92306,0.68529,0.99217,1.09333,1.12942,0.00229772,0.00229772,0.00229772
4,11.4701,1.13066,0.93649,1.22757,0.9456,0.88091,0.97783,0.70888,0.98381,0.79847,1.13339,0.0030954,0.0030954,0.0030954
5,14.4735,1.03172,0.75171,1.14185,0.98365,0.97837,0.99134,0.72517,0.99381,0.61584,1.13688,0.00389228,0.00389228,0.00389228
6,17.1854,0.99112,0.68302,1.10676,0.97716,0.98685,0.99056,0.75024,0.92834,0.56106,1.07952,0.00468837,0.00468837,0.00468837
7,19.8353,0.98262,0.6458,1.10053,0.99041,0.99087,0.99497,0.75327,0.91497,0.48719,1.07762,0.00548366,0.00548366,0.00548366
8,22.4763,1.01847,0.63476,1.12511,0.99493,0.99376,0.99493,0.75673,0.9302,0.4503,1.06654,0.00627817,0.00627817,0.00627817
9,25.172,0.97744,0.63159,1.09737,0.95737,0.916,0.98758,0.76498,0.87201,0.59648,1.02308,0.00707188,0.00707188,0.00707188
10,27.8079,0.98125,0.62592,1.09344,0.98276,0.98873,0.9941,0.75817,0.89709,0.47173,1.04338,0.00786481,0.00786481,0.00786481
11,30.2964,1.02062,0.62129,1.10235,0.95318,0.96677,0.98754,0.75889,0.93221,0.55946,1.05118,0.00865693,0.00865693,0.00865693
12,32.7808,1.01993,0.65971,1.08305,0.97235,0.96331,0.99177,0.74253,0.92276,0.59615,1.03781,0.00944827,0.00944827,0.00944827
13,35.7684,1.01559,0.65574,1.09774,0.97508,0.96752,0.99161,0.73865,0.93841,0.91017,1.05827,0.0099406,0.0099406,0.0099406
14,38.2223,1.05601,0.70287,1.10295,0.95201,0.92767,0.97576,0.67726,1.05954,0.938,1.19882,0.00993565,0.00993565,0.00993565
15,40.844,1.06095,0.64935,1.09586,0.9626,0.96548,0.9898,0.74648,0.92867,1.1062,1.08495,0.0099307,0.0099307,0.0099307
16,43.4469,1.01182,0.62154,1.0809,0.85289,0.87041,0.93738,0.70778,0.9218,1.48585,1.08325,0.00992575,0.00992575,0.00992575
17,46.2354,1.02452,0.63692,1.07555,0.86775,0.74499,0.90629,0.60477,1.15409,1.30841,1.21262,0.0099208,0.0099208,0.0099208
18,49.0378,1.06358,0.64383,1.09931,0.95199,0.90691,0.97629,0.72293,0.96942,1.11614,1.11647,0.00991585,0.00991585,0.00991585
19,51.5815,1.00301,0.62964,1.07547,0.93576,0.92497,0.97054,0.6868,1.03891,0.89147,1.15064,0.0099109,0.0099109,0.0099109
20,54.1149,0.98729,0.59668,1.0615,0.87693,0.78904,0.88725,0.6079,1.15482,1.47419,1.17219,0.00990595,0.00990595,0.00990595
21,56.8126,1.00868,0.60154,1.07348,0.91788,0.92581,0.96532,0.68413,1.06236,0.73522,1.17262,0.009901,0.009901,0.009901
22,59.5565,0.99856,0.5892,1.05509,0.86403,0.92993,0.95067,0.68716,0.98771,0.75844,1.11932,0.00989605,0.00989605,0.00989605
23,62.1334,0.98,0.59382,1.05856,0.962,0.96799,0.99042,0.73579,0.98317,0.62114,1.07665,0.0098911,0.0098911,0.0098911
24,64.806,1.00541,0.60131,1.06976,0.96117,0.96335,0.99081,0.74333,0.95166,0.79634,1.06405,0.00988615,0.00988615,0.00988615
25,67.5709,1.00229,0.5811,1.05616,0.95882,0.94554,0.98275,0.72352,0.96923,0.67451,1.0525,0.0098812,0.0098812,0.0098812
26,71.1515,0.99795,0.57857,1.05032,0.95801,0.94371,0.97578,0.71019,1.006,0.92447,1.12051,0.00987625,0.00987625,0.00987625
27,74.1917,0.96881,0.56244,1.05232,0.91065,0.85747,0.95825,0.69949,0.98069,1.12867,1.09506,0.0098713,0.0098713,0.0098713
28,77.2816,0.97516,0.57796,1.04665,0.8862,0.92725,0.97226,0.72,0.95459,0.9279,1.09743,0.00986635,0.00986635,0.00986635
29,80.2536,0.95699,0.55184,1.03637,0.91039,0.9734,0.97499,0.72563,0.95361,0.86284,1.0921,0.0098614,0.0098614,0.0098614
30,82.9761,0.95703,0.56873,1.04791,0.96276,0.9507,0.98325,0.75176,0.92148,0.59448,1.03919,0.00985645,0.00985645,0.00985645
31,85.7957,0.97342,0.55424,1.04616,0.95457,0.98724,0.98955,0.74711,0.90223,0.66286,1.01664,0.0098515,0.0098515,0.0098515
32,88.6945,0.94314,0.54357,1.04008,0.97537,0.97837,0.99359,0.76094,0.89531,0.49664,1.02161,0.00984655,0.00984655,0.00984655
33,91.4021,0.97386,0.56362,1.04215,0.97045,0.9073,0.96179,0.73166,0.91221,0.55875,1.04295,0.0098416,0.0098416,0.0098416
34,94.4342,0.92614,0.5475,1.03114,0.96474,0.97274,0.98779,0.7323,0.96944,0.53431,1.1033,0.00983665,0.00983665,0.00983665
35,97.2887,0.93988,0.55107,1.03528,0.93028,0.86772,0.95382,0.71649,0.97732,0.60631,1.06916,0.0098317,0.0098317,0.0098317
36,100.315,0.93586,0.53579,1.03142,0.92821,0.93439,0.97725,0.74406,0.91013,0.62998,1.04383,0.00982675,0.00982675,0.00982675
37,103.138,0.92554,0.53881,1.03252,0.93962,0.92541,0.98092,0.75173,0.90598,0.53269,1.02902,0.0098218,0.0098218,0.0098218
38,105.95,0.96194,0.53735,1.04681,0.95745,0.93729,0.97904,0.74598,0.89843,0.5856,1.04495,0.00981685,0.00981685,0.00981685
39,108.595,0.93291,0.53419,1.03355,0.85648,0.43708,0.52017,0.33713,1.4407,2.08769,1.36056,0.0098119,0.0098119,0.0098119
40,111.429,0.94072,0.53211,1.03641,0.96864,0.94973,0.98607,0.7326,0.92029,0.80031,1.03407,0.00980695,0.00980695,0.00980695
41,114.111,0.96304,0.53651,1.0288,0.98208,0.98379,0.99102,0.76169,0.89664,0.51818,1.03271,0.009802,0.009802,0.009802
42,116.944,0.93185,0.55655,1.03784,0.97459,0.96772,0.98959,0.73678,0.96866,0.52294,1.07816,0.00979705,0.00979705,0.00979705
43,119.644,0.94328,0.52319,1.02934,0.96374,0.98935,0.99301,0.77399,0.87152,0.50392,1.0132,0.0097921,0.0097921,0.0097921
44,122.772,0.92202,0.52843,1.02843,0.97796,0.9864,0.99126,0.76497,0.87455,0.50833,1.0165,0.00978715,0.00978715,0.00978715
45,125.624,0.92457,0.52761,1.0442,0.97397,0.9873,0.98978,0.77572,0.85983,0.48358,1.00651,0.0097822,0.0097822,0.0097822
46,128.316,0.92437,0.51887,1.03399,0.96609,0.96369,0.98966,0.75455,0.87795,0.59819,1.0386,0.00977725,0.00977725,0.00977725
47,131.009,0.93074,0.52114,1.0348,0.97018,0.98588,0.99091,0.74786,0.92497,0.59876,1.0438,0.0097723,0.0097723,0.0097723
48,133.866,0.90431,0.50799,1.02619,0.9607,0.98999,0.99305,0.77157,0.83963,0.52558,1.00256,0.00976735,0.00976735,0.00976735
49,136.542,0.91843,0.51502,1.03027,0.96491,0.98266,0.98538,0.74579,0.91318,0.49477,1.02617,0.0097624,0.0097624,0.0097624
50,139.381,0.91866,0.50333,1.03507,0.98492,0.95043,0.98751,0.75457,0.91329,0.49472,1.0138,0.00975745,0.00975745,0.00975745
51,141.94,0.89796,0.49961,1.01158,0.97684,0.98426,0.99391,0.7605,0.92254,0.49545,1.0093,0.0097525,0.0097525,0.0097525
52,144.812,0.90925,0.50267,1.01461,0.98032,0.98168,0.99106,0.76265,0.87041,0.44857,1.01561,0.00974755,0.00974755,0.00974755
53,147.481,0.8823,0.4896,1.01082,0.92402,0.88753,0.9661,0.7411,0.91287,0.5859,1.02811,0.0097426,0.0097426,0.0097426
54,150.332,0.89727,0.49691,1.00965,0.98388,0.94668,0.98875,0.76321,0.90979,0.47231,1.03402,0.00973765,0.00973765,0.00973765
55,153.06,0.8784,0.48397,1.01371,0.98841,0.99349,0.99368,0.7795,0.85292,0.44329,0.98709,0.0097327,0.0097327,0.0097327
56,155.938,0.86862,0.47872,0.996,0.96219,0.98901,0.99235,0.77344,0.84608,0.43584,0.97648,0.00972775,0.00972775,0.00972775
57,158.653,0.89837,0.50236,1.0089,0.98937,0.9889,0.99475,0.77433,0.86766,0.45639,0.98246,0.0097228,0.0097228,0.0097228
58,161.316,0.87838,0.49625,1.00682,0.98806,0.98333,0.99269,0.76873,0.90775,0.45068,1.01665,0.00971785,0.00971785,0.00971785
59,164.519,0.89265,0.50088,1.01481,0.98704,0.98217,0.99396,0.7829,0.82313,0.4622,0.97909,0.0097129,0.0097129,0.0097129
60,167.424,0.90352,0.48913,1.02987,0.98555,0.99,0.99487,0.77797,0.83422,0.42595,0.9897,0.00970795,0.00970795,0.00970795
61,170.195,0.87982,0.49718,1.01848,0.99028,0.97844,0.99381,0.77071,0.88327,0.44139,1.02318,0.009703,0.009703,0.009703
62,172.989,0.88475,0.4921,1.01312,0.98718,0.99152,0.99064,0.78324,0.86646,0.43325,1.00406,0.00969805,0.00969805,0.00969805
63,175.744,0.88389,0.49941,1.00552,0.95546,0.9808,0.97877,0.77165,0.85426,0.46126,1.0051,0.0096931,0.0096931,0.0096931
